bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-031_task-rest_run-03_bold	0.0006782	0.00198004724	0	17.020999352730914	1.251673231485943	1.0081826613654608	0.4523832109072396	56285.97265625	0.1510620199923389	59	23.6	2.5988391509433963	2.590083018867925	2.9069494339622644	2.299485	0.0236978	-0.006518031936138868	0.020778696984052658	250	64	64	40	3.7067759310740285	2.5	3.3125	3.3125	4.0	56.37126084757058	4984.23583984375	28155.396484375	3464.06494140625	100587.0	11.252244758605958	142254.14375	69076.78125	3.2088213525662264	153035.03125	799244.6875	796441.6875	29662.0	447996.275	1116418.6749999993	214857.40625	105.648193359375
sub-032_task-rest_run-01_bold	0.004410079999999999	0.007197317999999999	0	20.767344103092366	1.259521462891566	2.985835438313252	0.45776521244497415	11911.7138671875	0.1876300293347532	95	38.0	2.309518254716981	2.3430762264150946	2.629286037735849	1.9561925	0.0253018	-0.0049324012361466885	0.022589774802327156	250	64	64	40	3.8469776207892026	2.5	3.3125	3.3125	4.0	47.86879330340319	12482.4697265625	71402.125	13971.1005859375	99887.0	435.3189117431641	408048.8781249999	173420.375	2.8025050651356187	336348.15625	1669923.375	1641243.25	29450.0	1072462.8250000002	2408103.0875	426624.625	65.063232421875
sub-032_task-rest_run-02_bold	0.017291720000000003	0.012383216840000003	0	22.066130059357434	1.2492612216064252	1.984947939839358	0.4638451320248584	10119.9765625	0.21216890137874111	56	22.4	2.317622468553459	2.331809811320755	2.6523350943396227	1.9687225	0.0174243	-0.0034248572774231434	0.03148660436272621	250	64	64	40	3.929122901670918	2.5	3.3125	3.3125	4.0	53.77380589773061	13117.0556640625	70526.7421875	15023.3193359375	99205.0	1254.731201171875	387992.28124999924	169853.421875	2.578298305547844	327281.5625	1645116.875	1616921.625	30060.0	1062271.1125	2366813.75	411515.4375	41.28960418701172
sub-032_task-rest_run-03_bold	0.0049235600000000004	0.00699949172	0	23.513150812249005	1.2108264691967874	2.5160836391566237	0.4600696531235556	11053.0302734375	0.33133594954031165	185	74.0	2.2952382232704402	2.3337116981132073	2.611595471698113	1.9404075	0.037932	-0.0023548458702862263	0.025149814784526825	250	64	64	40	3.923696719936579	2.5	3.3125	3.3125	4.0	50.26536317692424	12550.45703125	71053.359375	14241.4677734375	99629.0	874.3051879882813	401404.33124999923	173663.75	2.485858605757593	328356.09375	1636534.5	1606788.5	29522.0	1066598.84375	2352551.6624999996	409501.90625	57.16636657714844
sub-033_task-rest_run-01_bold	0.0006431147540983607	0.008612087172131147	0	22.883755389876562	1.096904821646091	0.9797204752674898	0.515060601463146	903.1149291992188	0.11300166661930314	15	6.147540983606557	2.2808788754845044	2.281186579283702	2.622007547169811	1.9394425	0.0396072	-0.008830996230244637	0.03715407848358154	244	64	64	40	4.365804727053618	2.5	3.312499761581421	3.3125	4.0	107.21385296133725	10.779245376586914	53.561561584472656	27.26639175415039	99778.0	19.397539138793945	193.3053115844724	76.0096664428711	2.07462610590333	146.40394592285156	848.6362915039062	843.7724609375	30394.0	528.2960601806641	1163.8007690429688	193.2653045654297	54.89491271972656
sub-033_task-rest_run-02_bold	0.00037459016393442626	0.007374359590163935	0	23.31396946720166	1.1004182298765428	0.9817889656790135	0.51623922041549	884.29443359375	0.10812246234408045	8	3.278688524590164	2.2530878527015807	2.2490778977273833	2.5911456603773586	1.91904	0.0522998	-0.00903305783867836	0.03548603132367134	244	64	64	40	4.417138895020068	2.5	3.312499761581421	3.3125	4.0	101.45317028979856	11.101285934448242	54.564918518066406	27.610654830932617	99935.0	19.52458953857422	201.1655654907218	77.30126953125	2.16723232635585	144.915283203125	852.5781860351562	845.41796875	30178.0	542.4376831054688	1164.9874755859373	191.39175415039062	58.59177780151367
sub-033_task-rest_run-03_bold	0.00041311475409836065	0.0075868901639344274	0	23.580245540205762	1.0991819195884776	0.9755182654320986	0.5172495011140916	867.8351440429688	0.10397208740212699	12	4.918032786885246	2.2684205103164157	2.2650054460435864	2.6085735849056606	1.9316825	0.0545828	-0.009322638623416424	0.0353546217083931	244	64	64	40	4.426928905580146	2.5	3.312499761581421	3.3125	4.0	100.4614455407602	11.40510082244873	55.32086944580078	27.87704849243164	99891.0	19.540983200073242	204.38318634033203	78.53435516357422	2.1001647676531583	145.97251892089844	855.0945434570312	846.5778198242188	30246.0	549.2233276367188	1171.4671325683594	191.23049926757812	56.16839599609375
sub-034_task-rest_run-01_bold	0.0007202868852459018	0.007623154426229508	0	22.767630094320978	1.0747204414403302	0.9734650547736631	0.5174229131260042	857.3956298828125	0.11293129480318398	24	9.836065573770492	2.2597406226364622	2.269633044189378	2.580241323720009	1.9293475	0.0331771	-0.009515287354588509	0.03193771839141846	244	64	64	40	4.392840597755762	2.5	3.312500238418579	3.312500238418579	4.0	42.04086788354247	11.295727729797363	54.67124938964844	28.049179077148438	99776.0	19.581966400146484	202.67313766479492	71.45978546142578	2.073476898786308	145.45301818847656	853.236083984375	845.079833984375	30266.0	540.9763793945312	1172.7396850585938	192.37344360351562	57.796424865722656
sub-034_task-rest_run-02_bold	0.0009142622950819671	0.008250347418032787	0	22.31419678650207	1.0985184615637864	1.0055019059259251	0.5186509635440845	848.2474365234375	0.11757838273319646	26	10.655737704918034	2.2636509998600918	2.2706956856223277	2.5847998139579476	1.9354575	0.0506362	-0.00991862453520298	0.032023217529058456	244	64	64	40	4.304602879848351	2.5	3.312500238418579	3.312500238418579	4.0	46.5470993359605	11.611690521240234	56.1143798828125	28.356555938720703	99812.0	19.819671630859375	210.890355682373	74.44139862060547	2.122038930414047	148.43043518066406	856.9302368164062	849.090087890625	30323.0	533.2175720214843	1181.3265380859375	197.2484130859375	59.92744064331055
sub-034_task-rest_run-03_bold	0.0007799590163934426	0.0061989942622950826	0	22.272144349259257	1.0801385358024695	0.9879633215637857	0.5198345055489104	838.4487915039062	0.1132663068394447	26	10.655737704918034	2.2558263932501794	2.2647847426515444	2.5778594370989936	1.924835	0.0338596	-0.008854001760482788	0.03088945895433426	244	64	64	40	4.339245790973355	2.5	3.312500238418579	3.312500238418579	4.0	34.10354474119942	11.687644004821777	56.73856735229492	28.481555938720703	99876.0	19.897539138793945	215.93544006347656	74.17778778076172	2.076393396177485	148.077880859375	857.737548828125	849.225341796875	30263.0	536.7237182617188	1184.2654541015622	195.70481872558594	62.47027587890625
