,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
31,62,right vessel,inner,,,,,,,,,,,,,,,,,,,,,
32,72,5th ventricle,inner,,,,,,,,,,,,,,,,,,,,,
33,85,optic chasm,inner,,,,,,,,,,,,,,,,,,,,,
34,91,left basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
35,92,right basal forebrain,inner,,,,,,,,,,,,,,,,,,,,,
36,630,cerebellar vermal lobules I-V,inner,5204.649610441336,1702.62331706678,0.80065260542671,1.66909003257751,1.54468239027685,96.1369797859691,86.1771700356718,123.604280618312,14.3144769668579,18.5771083831787,23.8921508789062,89.0,104.0,73.0,99.0,110.0,134.0,2649150.0,96.1369797859691,86.1771700356718,123.604280618312
37,631,cerebellar vermal lobules VI-VII,inner,1888.7741511375696,884.954599643784,0.901615834687388,2.31193709373474,1.25355368302357,95.0052424639581,74.4141546526868,109.520969855832,9.00644207000732,13.5984086990356,20.8223266601562,91.0,100.0,68.0,109.0,97.0,141.0,962906.0,95.0052424639581,74.4141546526868,109.520969855832
38,632,cerebellar vermal lobules VIII-X,inner,2403.6693325748097,1110.95824982234,0.915175899548003,2.4810528755188,1.48195373316151,94.4943357363543,82.5731204943357,99.7152420185376,9.93806934356689,12.8950853347778,24.6568756103516,88.0,100.0,73.0,96.0,90.0,112.0,1227344.0,94.4943357363543,82.5731204943357,99.7152420185376
39,1002,left caudal anterior cingulate,outer,3495.3461355258823,2399.16604886039,0.958733086305822,3.51731610298157,1.55309763679895,93.782223796034,143.506728045326,175.278682719547,10.0343971252441,17.3471546173096,35.2941474914551,88.0,98.0,127.0,160.0,163.0,187.0,2829648.0,93.782223796034,143.506728045326,175.278682719547
40,1003,left caudal middle frontal,outer,7869.479720139362,5206.20526472643,0.82857269462185,1.78609228134155,2.2419108531674,68.6448568732306,138.512268008808,184.136835482856,19.4344081878662,29.1007099151611,34.7116470336914,55.0,82.0,119.0,157.0,166.0,198.0,6377074.0,68.6448568732306,138.512268008808,184.136835482856
41,1005,left cuneus,outer,3213.1439687766256,2911.57342111168,0.86553751801378,1.99662947654724,2.11301439149892,86.7954545454545,64.4938366718028,145.552388289676,17.6578826904297,23.3614635467529,35.2562484741211,74.0,95.0,49.0,82.0,126.0,157.0,2608980.0,86.7954545454545,64.4938366718028,145.552388289676
